fare_id,origin_id,destination_id,Price,currency_type,origin_station,destination_station
142,SFIA,GLEN,9.55,USD,San Francisco International Airport,Glen Park
143,SFIA,BALB,9.4,USD,San Francisco International Airport,Balboa Park
144,SFIA,DALY,9.15,USD,San Francisco International Airport,Daly City
145,SFIA,OAKL,17.6,USD,San Francisco International Airport,Oakland City Center/12th St
146,SFIA,WARM,13.5,USD,San Francisco International Airport,Warm Springs/South Fremont
147,SFIA,MLPT,14.3,USD,San Francisco International Airport,Milpitas
148,SFIA,BERY,14.6,USD,San Francisco International Airport,Berryessa/North San Jose
149,SFIA,PCTR,13.65,USD,San Francisco International Airport,Pittsburg Center
150,SFIA,ANTC,14.35,USD,San Francisco International Airport,Antioch
151,MLBR,SSAN,3.6,USD,Millbrae,South San Francisco
152,MLBR,SBRN,3.6,USD,Millbrae,San Bruno
153,MLBR,SFIA,4.95,USD,Millbrae,San Francisco International Airport
154,MLBR,MLBR,6.4,USD,Millbrae,Millbrae
155,MLBR,WDUB,8,USD,Millbrae,West Dublin/Pleasanton
156,MLBR,RICH,6.6,USD,Millbrae,Richmond
157,MLBR,DELN,6.35,USD,Millbrae,Del Norte
158,MLBR,PLZA,6.15,USD,Millbrae,El Cerrito Plaza
159,MLBR,NBRK,5.95,USD,Millbrae,North Berkeley
160,MLBR,DBRK,5.9,USD,Millbrae,Downtown Berkeley
161,MLBR,ASHB,5.8,USD,Millbrae,Ashby
162,MLBR,MCAR,5.65,USD,Millbrae,MacArthur
163,MLBR,19TH,5.55,USD,Millbrae,19th Street Oakland
164,MLBR,12TH,5.55,USD,Millbrae,12th Street Oakland
165,MLBR,LAKE,5.55,USD,Millbrae,Lake Merritt
166,MLBR,FTVL,5.85,USD,Millbrae,Fruitvale
167,MLBR,COLS,6.05,USD,Millbrae,Coliseum
168,MLBR,SANL,6.4,USD,Millbrae,San Leandro
169,MLBR,BAYF,6.65,USD,Millbrae,Bay Fair
170,MLBR,HAYW,7,USD,Millbrae,Hayward
171,MLBR,SHAY,7.3,USD,Millbrae,South Hayward
172,MLBR,UCTY,7.85,USD,Millbrae,Union City
173,MLBR,FRMT,8.2,USD,Millbrae,Fremont
174,MLBR,CAST,6.95,USD,Millbrae,Castro Valley
175,MLBR,DUBL,8.2,USD,Millbrae,Dublin/Pleasanton
176,MLBR,PITT,8.65,USD,Millbrae,Pittsburg/Bay Point
177,MLBR,NCON,8.1,USD,Millbrae,North Concord/Martinez
178,MLBR,COLM,4.15,USD,Millbrae,Colma
179,MLBR,CONC,7.85,USD,Millbrae,Concord
180,MLBR,PHIL,7.4,USD,Millbrae,Pleasant Hill
181,MLBR,WCRK,7.25,USD,Millbrae,Walnut Creek
182,MLBR,LAFY,6.85,USD,Millbrae,Lafayette
183,MLBR,ORIN,6.4,USD,Millbrae,Orinda
184,MLBR,ROCK,5.8,USD,Millbrae,Rockridge
185,MLBR,WOAK,5.45,USD,Millbrae,West Oakland
186,MLBR,EMBR,5.2,USD,Millbrae,Embarcadero
187,MLBR,MONT,5.2,USD,Millbrae,Montgomery Street
188,MLBR,POWL,5.2,USD,Millbrae,Powell Street
189,MLBR,CIVC,5.2,USD,Millbrae,Civic Center
190,MLBR,16TH,5.15,USD,Millbrae,16th Street Mission
191,MLBR,24TH,5.05,USD,Millbrae,24th Street Mission
192,MLBR,GLEN,4.8,USD,Millbrae,Glen Park
193,MLBR,BALB,4.65,USD,Millbrae,Balboa Park
194,MLBR,DALY,4.4,USD,Millbrae,Daly City
195,MLBR,OAKL,12.8,USD,Millbrae,Oakland City Center/12th St
196,MLBR,WARM,8.7,USD,Millbrae,Warm Springs/South Fremont
197,MLBR,MLPT,9.5,USD,Millbrae,Milpitas
198,MLBR,BERY,9.8,USD,Millbrae,Berryessa/North San Jose
199,MLBR,PCTR,8.85,USD,Millbrae,Pittsburg Center
200,MLBR,ANTC,9.55,USD,Millbrae,Antioch
201,WDUB,SSAN,7.35,USD,West Dublin/Pleasanton,South San Francisco
202,WDUB,SBRN,7.65,USD,West Dublin/Pleasanton,San Bruno
